id,year,utility_id,type,co2_ef,n2o_ef,ch4_ef
881,2007,1,electric,1940.3,0.03181,0.19143
882,2008,1,electric,1880,0.02832,0.18429
883,2009,1,electric,1952.2,0.03277,0.2
884,2010,1,electric,1812.2,0.02932,0.19048
885,2011,1,electric,1700,0.02865,0.18762
886,2012,1,electric,1735,0.02903,0.19286
887,2013,1,electric,1706,0.02748,0.22143
888,2007,2,electric,1290,0.02919,0.02897
889,2008,2,electric,1252,0.02849,0.02889
890,2009,2,electric,1182,0.02779,0.0288
891,2010,2,electric,1124,0.02629,0.02853
892,2011,2,electric,1154,0.02559,0.02845
893,2012,2,electric,1050,0.02466,0.02831
894,2013,2,electric,1042,0.02373,0.02817
895,2007,3,gas,5.302,0.00042,0.0032
896,2008,3,gas,5.302,0.00042,0.0032
897,2009,3,gas,5.302,0.00042,0.0032
898,2010,3,gas,5.302,0.00042,0.0032
899,2011,3,gas,5.302,0.00042,0.0032
900,2012,3,gas,5.302,0.00042,0.0032
901,2013,3,gas,5.302,0.00042,0.0032
902,2007,4,electric,1722.67,0.02919,0.02897
903,2008,4,electric,1675.635,0.02849,0.028885
904,2009,4,electric,1628.6,0.02779,0.0288
905,2010,4,electric,1536.36,0.02629,0.02853
906,2011,4,electric,1480.755,0.025275,0.028065
907,2012,4,electric,1425.15,0.02426,0.0276
908,2013,4,electric,1361.747,0.023303,0.027517
909,2007,5,electric,1940.3,0.03181,0.19143
910,2008,5,electric,1880,0.02832,0.18429
911,2009,5,electric,1952.2,0.03277,0.2
912,2010,5,electric,1812.2,0.02932,0.19048
913,2011,5,electric,1700,0.02865,0.18762
914,2012,5,electric,1735,0.02903,0.19286
915,2013,5,electric,1706,0.02748,0.22143
916,2007,6,electric,1722.67,0.02919,0.02897
917,2008,6,electric,1675.635,0.02849,0.028885
918,2009,6,electric,1628.6,0.02779,0.0288
919,2010,6,electric,1536.36,0.02629,0.02853
920,2011,6,electric,1480.755,0.025275,0.028065
921,2012,6,electric,1425.15,0.02426,0.0276
922,2013,6,electric,1361.747,0.023303,0.027517
923,2007,7,electric,2100,0.02919,0.02897
924,2008,7,electric,2100,0.02849,0.028885
925,2009,7,electric,2100,0.02779,0.0288
926,2010,7,electric,2100,0.02629,0.02853
927,2011,7,electric,2100,0.02559,0.02845
928,2012,7,electric,2100,0.02466,0.02831
929,2013,7,electric,2100,0.02373,0.02817
930,2007,8,gas,5.302,0.00042,0.0032
931,2008,8,gas,5.302,0.00042,0.0032
932,2009,8,gas,5.302,0.00042,0.0032
933,2010,8,gas,5.302,0.00042,0.0032
934,2011,8,gas,5.302,0.00042,0.0032
935,2012,8,gas,5.302,0.00042,0.0032
936,2013,8,gas,5.302,0.00042,0.0032
937,2007,9,electric,1940.3,0.03181,0.19143
938,2008,9,electric,1880,0.02832,0.18429
939,2009,9,electric,1952.2,0.03277,0.2
940,2010,9,electric,1812.2,0.02932,0.19048
941,2011,9,electric,1700,0.02865,0.18762
942,2012,9,electric,1735,0.02903,0.19286
943,2013,9,electric,1706,0.02748,0.22143
944,2007,10,gas,5.302,0.00042,0.0032
945,2008,10,gas,5.302,0.00042,0.0032
946,2009,10,gas,5.302,0.00042,0.0032
947,2010,10,gas,5.302,0.00042,0.0032
948,2011,10,gas,5.302,0.00042,0.0032
949,2012,10,gas,5.302,0.00042,0.0032
950,2013,10,gas,5.302,0.00042,0.0032
951,2005,11,electric,1594.67,0.02849,0.03872
952,2006,11,electric,1658.67,0.02884,0.033845
953,2007,11,electric,1722.67,0.02919,0.02897
954,2008,11,electric,1675.635,0.02849,0.028885
955,2009,11,electric,1628.6,0.02779,0.0288
956,2010,11,electric,1536.36,0.02629,0.02853
957,2011,11,electric,1489.325,0.02559,0.02845
958,2012,11,electric,1428.7285,0.02466,0.02831
959,2013,11,electric,1368.132,0.02373,0.02817
960,2007,12,gas,5.302,0.00042,0.0032
961,2008,12,gas,5.302,0.00042,0.0032
962,2009,12,gas,5.302,0.00042,0.0032
963,2010,12,gas,5.302,0.00042,0.0032
964,2011,12,gas,5.302,0.00042,0.0032
965,2012,12,gas,5.302,0.00042,0.0032
966,2013,12,gas,5.302,0.00042,0.0032
967,2007,13,electric,1940.3,0.03181,0.19143
968,2008,13,electric,1880,0.02832,0.18429
969,2009,13,electric,1952.2,0.03277,0.2
970,2010,13,electric,1812.2,0.02932,0.19048
971,2011,13,electric,1700,0.02865,0.18762
972,2012,13,electric,1735,0.02903,0.19286
973,2013,13,electric,1706,0.02748,0.22143
974,2007,14,electric,1940.3,0.03181,0.19143
975,2008,14,electric,1880,0.02832,0.18429
976,2009,14,electric,1952.2,0.03277,0.2
977,2010,14,electric,1812.2,0.02932,0.19048
978,2011,14,electric,1700,0.02865,0.18762
979,2012,14,electric,1735,0.02903,0.19286
980,2013,14,electric,1706,0.02748,0.22143
981,2000,0,none,0,0,0
982,2001,0,none,0,0,0
983,2002,0,none,0,0,0
984,2003,0,none,0,0,0
985,2004,0,none,0,0,0
986,2005,0,none,0,0,0
987,2006,0,none,0,0,0
988,2007,0,none,0,0,0
989,2008,0,none,0,0,0
990,2009,0,none,0,0,0
991,2010,0,none,0,0,0
992,2011,0,none,0,0,0
993,2012,0,none,0,0,0
994,2013,0,none,0,0,0
995,2014,0,none,0,0,0
996,2015,0,none,0,0,0
997,2016,0,none,0,0,0
998,2017,0,none,0,0,0
999,2018,0,none,0,0,0
1000,2019,0,none,0,0,0
1001,2020,0,none,0,0,0
1002,2021,0,none,0,0,0
1003,2022,0,none,0,0,0
1004,2023,0,none,0,0,0
1005,2024,0,none,0,0,0
1006,2025,0,none,0,0,0
1007,2026,0,none,0,0,0
1008,2027,0,none,0,0,0
1009,2028,0,none,0,0,0
1010,2029,0,none,0,0,0
1011,2030,0,none,0,0,0
1012,2031,0,none,0,0,0
1013,2032,0,none,0,0,0
1014,2033,0,none,0,0,0
1015,2034,0,none,0,0,0
1016,2035,0,none,0,0,0
1017,2036,0,none,0,0,0
1018,2037,0,none,0,0,0
1019,2038,0,none,0,0,0
1020,2039,0,none,0,0,0
1021,2040,0,none,0,0,0
1022,2041,0,none,0,0,0
1023,2042,0,none,0,0,0
1024,2043,0,none,0,0,0
1025,2044,0,none,0,0,0
1026,2045,0,none,0,0,0
1027,2046,0,none,0,0,0
1028,2047,0,none,0,0,0
1029,2048,0,none,0,0,0
1030,2049,0,none,0,0,0
1031,2050,0,none,0,0,0
1032,2051,0,none,0,0,0
1033,2052,0,none,0,0,0
1034,2053,0,none,0,0,0
1035,2054,0,none,0,0,0
1036,2055,0,none,0,0,0
1037,2056,0,none,0,0,0
1038,2057,0,none,0,0,0
1039,2058,0,none,0,0,0
1040,2059,0,none,0,0,0
1041,2060,0,none,0,0,0
